Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9881925821304322,0.06956301555037499,0.423882383108139,0.2681432992219925,12.828944732632035,0.3478909872472286
2,0.8795006036758423,0.046988824009895326,0.4104855597019196,0.2067573994398117,15.744262225490779,0.34613399729132655
3,0.988281536102295,0.022382853925228118,0.4736201763153076,0.4537158727645874,15.82413523103261,0.3067353513091803
4,0.9839194297790528,0.021564931422472,0.45930827260017393,0.42200335264205935,16.029832005634464,0.3062034908682108
5,1.008669376373291,0.019788935780525208,0.46414586901664734,0.5035629510879517,17.293156779005677,0.344346909224987
6,0.9727961778640747,0.016541218012571336,0.5535669207572937,0.5366292476654053,16.823912248943024,0.33869223706424234
7,0.9678882360458374,0.01402879785746336,0.5621548891067505,0.516636061668396,15.906916890207164,0.37022051922976973
8,0.9435883045196534,0.014572310075163842,0.5506696164608001,0.45953508615493777,15.676826872128245,0.39872473627328875
9,0.9378803133964538,0.013168021291494369,0.49686102867126464,0.4426208734512329,17.090013822100488,0.379719552397728
10,0.9073869466781617,0.014741513691842557,0.6112614750862122,0.396456378698349,16.327923419093384,0.41387194469571115
